tweet_number,word,tf-idf_score
38,Explosion,0.3189023667076408
38,Go,0.2768621670136724
38,Huge,0.3189023667076408
38,JollyGreenApple,0.3189023667076408
38,News,0.3189023667076408
38,OLYMPICS,0.3189023667076408
38,RT,0.09317870514568735
38,RpNrrGemWR,0.3189023667076408
38,SOCHI,0.30145410735747297
38,VIDEO,0.3189023667076408
38,http,0.10099868616620118
39,bronze,0.272894547490253
39,gold,0.29731816694415725
39,lsdkjf,0.4529469319399131
39,silver,0.3975108473276795
39,stelenagasms,0.4529469319399131
39,today,0.30324512723480723
39,wearewinter,0.42051890125495134
40,CDNOlympicTeam,0.23896412126995428
40,Charle,0.288085945437981
40,Cournoyer,0.288085945437981
40,RT,0.12561480243734202
40,Short,0.28341243059436805
40,WeAreWinter,0.21413375644205104
40,bringing,0.288085945437981
40,bronze,0.2789916647930795
40,home,0.2708084158583572
40,http,0.2723139367382734
40,qkmdep8Lha,0.288085945437981
40,skater,0.288085945437981
40,speed,0.28341243059436805
40,track,0.28341243059436805
41,Bob,0.3447541647671658
41,Costas,0.3447541647671658
41,JohnnyGWeir,0.3447541647671658
41,OWN,0.3447541647671658
41,Olympics2014,0.24860956367848383
41,pants,0.3447541647671658
41,rocking,0.3447541647671658
41,think,0.3258914634927576
41,tonight,0.3447541647671658
42,5am,0.26380368554762873
42,GoCanadaGo,0.1302160178008364
42,Really,0.28414672835549054
42,Sunday,0.19425036278665697
42,What,0.28414672835549054
42,Wow,0.28414672835549054
42,alarm,0.28414672835549054
42,better,0.26380368554762873
42,coffee,0.28414672835549054
42,game,0.16862115986927026
42,guess,0.28414672835549054
42,maker,0.28414672835549054
42,set,0.24937006697500472
42,start,0.28414672835549054
42,time,0.26380368554762873
43,Down,0.3989291938069176
43,Genie,0.3989291938069176
43,GoCanadaGo,0.18281741726424183
43,RT,0.10821636621236563
43,Under,0.3989291938069176
43,having,0.3989291938069176
43,marathon,0.3989291938069176
43,weekend,0.3989291938069176
44,CC,0.32704294058792016
44,NYDailyNews,0.32704294058792016
44,Olympic,0.2547004507565517
44,RT,0.08871599064509879
44,Stakes,0.32704294058792016
44,USAvsCanada,0.23410377432702556
44,higher,0.32704294058792016
44,hockey,0.19703905466228358
44,http,0.19232288070709863
44,justinbieber,0.32704294058792016
44,matchup,0.32704294058792016
44,oaQKrWhOg2,0.32704294058792016
44,today,0.21895319547718137
45,Chobani,0.31148077400702723
45,Here,0.31148077400702723
45,RT,0.10080354422823073
45,TeamUSA,0.21731872037112634
45,We,0.26600041320367973
45,hills,0.31148077400702723
45,http,0.10926343644751829
45,leaving,0.31148077400702723
45,lkDtZHh8Kj,0.31148077400702723
45,proud,0.2894033867637005
45,rinks,0.31148077400702723
45,slopes,0.31148077400702723
45,sponsor,0.31148077400702723
46,Crosby,0.39109294388540505
46,Sunday,0.26736167849871234
46,TeamCanada,0.2618342705650511
46,TheRog590,0.39109294388540505
46,early,0.3630932532137607
46,goal,0.34322715652788094
46,got,0.31522746585623646
46,know,0.34322715652788094
46,morning,0.29536136917035677
47,Congrats,0.3267732271601472
47,GoForGold,0.4195865252629905
47,Jjallaway,0.4195865252629905
47,RT,0.11382002064659733
47,Sexay_Cole,0.4195865252629905
47,cole,0.4195865252629905
47,mills,0.4195865252629905
48,CDNOlympicTeam,0.23896412126995428
48,Charle,0.288085945437981
48,Cournoyer,0.288085945437981
48,RT,0.12561480243734202
48,Short,0.28341243059436805
48,WeAreWinter,0.21413375644205104
48,bringing,0.288085945437981
48,bronze,0.2789916647930795
48,home,0.2708084158583572
48,http,0.2723139367382734
48,qkmdep8Lha,0.288085945437981
48,skater,0.288085945437981
48,speed,0.28341243059436805
48,track,0.28341243059436805
49,In,0.25050413562644863
49,Olympics,0.2885419939568025
49,RT,0.08430783896219175
49,Thanks,0.27275485635744956
49,This,0.27275485635744956
49,catielaffoon,0.31079271468780334
49,commentators,0.31079271468780334
49,game,0.1844336844308556
49,insightful,0.31079271468780334
49,love,0.27275485635744956
49,reference,0.31079271468780334
49,skating,0.2420448042099085
49,speed,0.38043111313018785
50,AqPTV0PzmR,0.4757146844277997
50,GoCanadaGo,0.21800593015475644
50,Was,0.4757146844277997
50,amazing,0.41749205913199594
50,game,0.2823033096995694
50,http,0.13987584984918358
50,truly,0.4757146844277997
51,FHLL_baseball,0.29837583027909437
51,GoCanadaGo,0.13673679317663393
51,Mor,0.29837583027909437
51,Next,0.29837583027909437
51,RT,0.08093954671572404
51,Well,0.2770140770633226
51,absolutebasebal,0.29837583027909437
51,ask,0.2770140770633226
51,head,0.29837583027909437
51,hockey,0.17976749911365703
51,jserg12,0.29837583027909437
51,shave,0.29837583027909437
51,time,0.2770140770633226
51,visit,0.29837583027909437
52,Bob,0.3217592116363064
52,Costas,0.3217592116363064
52,JohnnyGWeir,0.3217592116363064
52,OWN,0.3217592116363064
52,Olympics2014,0.23202741370349794
52,RT,0.09401343432629304
52,fuggirls,0.34657145564477565
52,pants,0.3217592116363064
52,rocking,0.3217592116363064
52,think,0.30415464434852996
52,tonight,0.3217592116363064
53,AdamWylde,0.27580310236472466
53,Dear,0.26071295389915256
53,Ikea,0.27580310236472466
53,RT,0.08058571724890483
53,Swedes,0.27580310236472466
53,TeamCanada,0.19888748548222535
53,You,0.27580310236472466
53,assemble,0.27580310236472466
53,bookshelf,0.27580310236472466
53,hate,0.26071295389915256
53,inspiration,0.27580310236472466
53,ll,0.23944458417831435
53,need,0.27580310236472466
53,send,0.27580310236472466
53,welcome,0.27580310236472466
54,Sleepy,1.0
55,Nite,0.7071067811865476
55,Twitterverse,0.7071067811865476
56,Thanks,0.6596150182068103
56,fish,0.7516036374020746
57,Pleasant,0.7071067811865476
57,dreams,0.7071067811865476
58,Canada,0.40646600207206823
58,Ha,0.7429411236491125
58,USA,0.5318118802269686
59,Bring,0.6803862141042843
59,Sweden,0.7328537368785389
60,GoCanadaGo,1.0
61,BRUUUAAAH,0.3577633072819216
61,Canada,0.1957337083249736
61,IISuperwomanII,0.3577633072819216
61,LakhySBains,0.3577633072819216
61,RT,0.09704941548325506
61,USA,0.256094017500743
61,beats,0.3577633072819216
61,canadahockey,0.2998805972854674
61,hockey,0.21554767007952255
61,jazzyb,0.33214980007302286
61,m_Sodhhhi,0.3577633072819216
62,Canadian,0.2854081606117984
62,GoCanadaGo,0.17809088115270932
62,Just,0.29349022752593446
62,LA,0.3257410585584503
62,Lauren_Collins,0.3257410585584503
62,PaulaBrancati,0.3257410585584503
62,RT,0.10541855531220247
62,bed,0.3257410585584503
62,couple,0.3257410585584503
62,gals,0.3257410585584503
62,hockey,0.23413560882924744
62,watching,0.31323047064834547
63,Canada,0.2638577201718248
63,TeamCanadaHockey,0.4822808060419072
63,Vive,0.4822808060419072
63,cutielovato_,0.4822808060419072
63,le,0.4822808060419072
64,5i562hA5uO,0.4402594620250369
64,Christian4Peeps,0.4402594620250369
64,Good,0.4204938101147167
64,RT,0.1360830905879276
64,TeamCanada,0.33585633568398415
64,eh,0.4402594620250369
64,game,0.29769836464584065
64,http,0.14750380290568954
65,Caturday,0.3302523928551484
65,JaymonLefebvre,0.3302523928551484
65,Olympics,0.3066084867502507
65,Rewf5MV0iL,0.3302523928551484
65,They,0.3066084867502507
65,USA,0.23640116343418643
65,WeAreWinter,0.1527170113579471
65,announced,0.3302523928551484
65,hope,0.3302523928551484
65,http,0.09710512546171222
65,just,0.2898328683971722
65,tomorrow,0.3066084867502507
66,CDNOlympicTeam,0.23896412126995428
66,Charle,0.288085945437981
66,Cournoyer,0.288085945437981
66,RT,0.12561480243734202
66,Short,0.28341243059436805
66,WeAreWinter,0.21413375644205104
66,bringing,0.288085945437981
66,bronze,0.2789916647930795
66,home,0.2708084158583572
66,http,0.2723139367382734
66,qkmdep8Lha,0.288085945437981
66,skater,0.288085945437981
66,speed,0.28341243059436805
66,track,0.28341243059436805
67,Olympics2014,0.5563254935879213
